Player,Team,Date,Opponent,GS,IP,H,R,ER,BB,SO,AB,BF,2B,3B,HR,WP,HBP,BK,W,L,S
Nick Shaw,BB,8/28/2022,UU,0,1,2,1,1,0,3,5,5,,,1,,,,,,
Jake Fiorito,UU,8/28/2022,BB,1,2,4,0,0,0,2,10,10,,,,,,,1,,
Alex Reinoehl,UU,8/28/2022,BB,0,2,2,0,0,0,1,9,9,1,,,,,,,,
Austin Calopietro,UU,8/28/2022,BB,0,2,1,0,0,0,1,8,8,,,,,,,,,
Jean Muntaner,UU,8/28/2022,BB,0,2,3,2,2,3,3,8,13,1,,,1,1,,,,
Keon Taylor,UU,8/28/2022,BB,0,1,2,0,0,0,1,5,5,,,,,,,,,
Andrew Verbrugge,DH,8/30/2022,WM,1,4,4,3,3,3,6,14,19,1,,1,1,1,,,,
Sam Brace,DH,8/30/2022,WM,0,1,0,0,0,2,1,3,6,,,,1,1,,1,,
Michael DeSanti,DH,8/30/2022,WM,0,1,1,0,0,2,1,4,6,,,,,,,,,
Carson Ferry,DH,8/30/2022,WM,0,1,1,0,0,1,2,5,6,,,,1,,,,,
Luke Drummond,DH,8/30/2022,WM,0,1,0,0,0,1,2,3,4,,,,1,,,,,
Rafi Vazquez,WM,8/30/2022,DH,1,5,7,3,2,0,5,23,23,,,1,1,,,,,
Brant Brown,WM,8/30/2022,DH,0,1.2,2,2,2,2,1,8,11,,,,3,1,,,1,
Kyle Bischoff,WM,8/30/2022,DH,0,0.2,2,3,3,1,1,4,5,1,,,3,,,,,
Tyler Ruetschle,WM,8/30/2022,DH,0,0.2,1,0,0,2,1,3,5,,,,1,,,,,
Donovan Thacker,DH,8/31/2022,UU,1,4,3,1,1,5,6,14,19,1,,,2,,,1,,
Sam Brace,DH,8/31/2022,UU,0,0.2,2,4,4,1,1,4,7,,,1,2,2,,,,
Carson Ferry,DH,8/31/2022,UU,0,1.1,0,0,0,2,2,4,6,,,,2,,,,,
Luke Drummond,DH,8/31/2022,UU,0,1,0,0,0,1,2,4,5,,,,,,,,,1
Austin Calopietro,UU,8/31/2022,DH,1,2,0,0,0,1,1,6,7,,,,,,,,,
Jean Muntaner,UU,8/31/2022,DH,0,1.2,3,7,6,3,2,8,12,1,,,,1,,,1,
Alex Reinoehl,UU,8/31/2022,DH,0,2.1,3,1,0,1,0,11,12,1,,,,,,,,
Keon Taylor,UU,8/31/2022,DH,0,1,0,0,0,0,2,4,4,,,,,,,,,
Collin Ledbetter,WM,9/1/2022,BB,1,5,3,1,1,3,5,17,21,2,,,1,1,,,,
Christian Dearman,WM,9/1/2022,BB,0,3,2,0,0,0,3,10,10,,,,,,,,,
Kyle Bischoff,WM,9/1/2022,BB,0,1,2,1,1,0,1,5,5,1,,,1,,,1,,
Zach Devon,BB,9/1/2022,WM,1,6,3,2,2,2,6,21,24,1,,1,,1,,,,
Zachary Blankenship,BB,9/1/2022,WM,0,2.1,1,0,0,1,1,7,8,,,,,,,,,
James Krick,BB,9/1/2022,WM,0,1,2,1,0,1,3,5,6,,,,1,,,,,
Derrick Edington,DH,9/2/2022,WM,1,5,1,1,1,3,4,16,19,,1,,,,,1,,
Harry Orth,DH,9/2/2022,WM,0,4,1,1,1,0,5,13,14,,,,1,1,,,,1
Dawson Lane,WM,9/2/2022,DH,1,1,4,2,2,1,1,7,8,2,,,,,,,1,
Jack Parisi,WM,9/2/2022,DH,0,5,4,4,4,1,3,18,19,1,,2,,,,,,
Brant Brown,WM,9/2/2022,DH,0,2,0,0,0,2,2,6,8,,,,,,,,,
Tyler Ruetschle,WM,9/2/2022,DH,0,1,0,0,0,0,2,3,3,,,,,,,,,
Jake Fiorito,UU,9/3/2022,BB,1,2,6,4,3,2,3,11,13,3,,,,,,,,
Austin Calopietro,UU,9/3/2022,BB,0,1,0,0,0,0,1,3,3,,,,,,,,,
Jean Muntaner,UU,9/3/2022,BB,0,1,1,0,0,0,2,4,5,,,,,1,,,,
Keon Taylor,UU,9/3/2022,BB,0,3,1,0,0,0,4,9,10,,,,,1,,,,
Lyle Hibbitts,BB,9/3/2022,UU,1,3,3,0,0,1,4,12,13,,,,1,,,,,
Austin Shea,BB,9/3/2022,UU,0,1,2,2,2,0,3,5,6,,,1,,1,,,,
Zachary Blankenship,BB,9/3/2022,UU,0,1,1,2,2,1,2,4,5,1,,,1,,,,,
Nick Shaw,BB,9/3/2022,UU,0,1,0,0,0,0,1,3,3,,,,,,,,,
Adam Riggleman,UU,9/3/2022,BB,1,4,5,3,3,2,5,17,19,2,,,,,,,1,
Perry Bewley,UU,9/3/2022,BB,0,1,0,1,0,3,1,4,7,,,,,,,,,
Jesse Galindo,BB,9/3/2022,UU,1,3,5,1,1,0,1,13,13,,,1,,,,1,,
Zach Devon,BB,9/3/2022,UU,0,1,0,0,0,0,3,3,3,,,,,,,,,
James Krick,BB,9/3/2022,UU,0,2,2,1,1,0,3,8,8,,,1,,,,,,1
